id,session_id,session_name,time_slot,room,date,day,start_time,end_time,time_order
83,32,Sustainable and Circular Supply Chains,F1,SC-309,2026-06-05,Friday,10:30:00,11:40:00,7
99,32,Sustainable and Circular Supply Chains,F1,SC-309,2026-06-05,Friday,10:30:00,11:40:00,7
130,32,Sustainable and Circular Supply Chains,F1,SC-309,2026-06-05,Friday,10:30:00,11:40:00,7
170,32,Sustainable and Circular Supply Chains,F1,SC-309,2026-06-05,Friday,10:30:00,11:40:00,7
85,2,Public Policy and ESG,F1,SC-310,2026-06-05,Friday,10:30:00,11:40:00,7
166,2,Public Policy and ESG,F1,SC-310,2026-06-05,Friday,10:30:00,11:40:00,7
172,2,Public Policy and ESG,F1,SC-310,2026-06-05,Friday,10:30:00,11:40:00,7
205,2,Public Policy and ESG,F1,SC-310,2026-06-05,Friday,10:30:00,11:40:00,7
64,43,Industrial Decarbonization Pathways,F1,SC-Amp.,2026-06-05,Friday,10:30:00,11:40:00,7
69,43,Industrial Decarbonization Pathways,F1,SC-Amp.,2026-06-05,Friday,10:30:00,11:40:00,7
76,43,Industrial Decarbonization Pathways,F1,SC-Amp.,2026-06-05,Friday,10:30:00,11:40:00,7
163,43,Industrial Decarbonization Pathways,F1,SC-Amp.,2026-06-05,Friday,10:30:00,11:40:00,7
